"dive number"	"date"	"time"	"duration (min)"	"sac (cuft/min)"	"maxdepth (ft)"	"avgdepth (ft)"	"mode"	"airtemp (F)"	"watertemp (F)"	"cylinder size (cuft)"	"startpressure (psi)"	"endpressure (psi)"	"o2 (%)"	"he (%)"	"cylinder size (cuft)"	"startpressure (psi)"	"endpressure (psi)"	"o2 (%)"	"he (%)"	"cylinder size (cuft)"	"startpressure (psi)"	"endpressure (psi)"	"o2 (%)"	"he (%)"	"location"	"gps"	"divemaster"	"buddy"	"suit"	"rating"	"visibility"	"notes"	"weight (lbs)"	"tags"
"1"	"2021-08-11"	"00:03:00"	"44:00"	"NaN"	"78.94"	"46.79"	""	""	"57.0"	"NaN"	"3156"	"758"	"33.0"	""	"NaN"	"3156"	"758"	""	""	"NaN"	"3156"	"758"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"2021-08-25"	"23:50:00"	"38:00"	"NaN"	"109.88"	"72.63"	""	""	"58.0"	"NaN"	"3138"	"481"	"32.0"	""	"NaN"	"3138"	"481"	""	""	"NaN"	"3138"	"481"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"2021-08-31"	"23:39:00"	"33:00"	"NaN"	"120.37"	"68.34"	""	""	"57.0"	"NaN"	"3153"	"967"	"32.0"	""	"NaN"	"3153"	"967"	""	""	"NaN"	"3153"	"967"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"2021-09-14"	"23:43:00"	"41:30"	"NaN"	"106.75"	"65.47"	""	""	"57.0"	"NaN"	"3054"	"533"	"32.0"	""	"NaN"	"3054"	"533"	""	""	"NaN"	"3054"	"533"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"2021-09-25"	"10:20:00"	"42:30"	"NaN"	"35.75"	"23.04"	""	""	"66.0"	"NaN"	"2683"	"1103"	""	""	"NaN"	"2683"	"1103"	""	""	"NaN"	"2683"	"1103"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"2021-09-25"	"12:08:00"	"32:00"	"NaN"	"22.81"	"15.07"	""	""	"68.0"	"NaN"	"2800"	"1637"	""	""	"NaN"	"2800"	"1637"	""	""	"NaN"	"2800"	"1637"	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"2021-09-25"	"13:29:00"	"45:00"	"NaN"	"35.19"	"23.53"	""	""	"67.0"	"NaN"	"2791"	"1244"	""	""	"NaN"	"2791"	"1244"	""	""	"NaN"	"2791"	"1244"	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"2021-10-09"	"07:11:00"	"55:30"	"0.42"	"81.06"	"44.9"	""	""	"56.0"	"72.1"	"3135"	"713"	"32.0"	""	"72.1"	"3135"	"713"	""	""	"72.1"	"3135"	"713"	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"2021-10-17"	"09:16:00"	"30:00"	"0.64"	"93.06"	"41.47"	""	""	"56.0"	"72.1"	"3138"	"1174"	""	""	"72.1"	"3138"	"1174"	""	""	"72.1"	"3138"	"1174"	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"2021-10-17"	"11:06:00"	"28:00"	"0.65"	"57.06"	"30.88"	""	""	"56.0"	"72.1"	"3216"	"1593"	""	""	"72.1"	"3216"	"1593"	""	""	"72.1"	"3216"	"1593"	""	""	""	""	""	""	""	""	""	""	""	""
"11"	"2021-10-23"	"08:47:00"	"56:00"	"0.39"	"82"	"56.15"	""	""	"56.0"	"72.1"	"3290"	"716"	"32.0"	""	"72.1"	"3290"	"716"	""	""	"72.1"	"3290"	"716"	""	""	""	""	""	""	""	""	""	""	""	""
"12"	"2021-11-06"	"07:09:00"	"47:00"	"0.41"	"112.56"	"61.08"	""	""	"51.0"	"72.1"	"3246"	"802"	"32.0"	""	"72.1"	"3246"	"802"	""	""	"72.1"	"3246"	"802"	""	""	""	""	""	""	""	""	""	""	""	""
"13"	"2021-11-13"	"08:05:00"	"36:30"	"0.44"	"111"	"71.1"	""	""	"55.0"	"72.1"	"3121"	"916"	"33.0"	""	"72.1"	"3121"	"916"	""	""	"72.1"	"3121"	"916"	""	""	""	""	""	""	""	""	""	""	""	""
"14"	"2021-11-20"	"07:55:00"	"42:00"	"0.53"	"72.94"	"48.55"	""	""	"53.0"	"72.1"	"3126"	"705"	"32.0"	""	"72.1"	"3126"	"705"	""	""	"72.1"	"3126"	"705"	""	""	""	""	""	""	""	""	""	""	""	""
"15"	"2021-11-23"	"20:36:00"	"63:00"	"0.42"	"23.19"	"13.72"	""	""	"50.0"	"72.1"	"2808"	"1165"	""	""	"72.1"	"2808"	"1165"	""	""	"72.1"	"2808"	"1165"	""	""	""	""	""	""	""	""	""	""	""	""
"16"	"2021-11-26"	"18:40:00"	"46:00"	"0.46"	"83.75"	"56.6"	""	""	"54.0"	"72.1"	"3094"	"606"	"32.0"	""	"72.1"	"3094"	"606"	""	""	"72.1"	"3094"	"606"	""	""	""	""	""	""	""	""	""	""	""	""
"17"	"2021-12-04"	"07:54:00"	"50:00"	"0.34"	"106.56"	"63.25"	""	""	"50.0"	"72.1"	"3106"	"908"	"31.0"	""	"72.1"	"3106"	"908"	""	""	"72.1"	"3106"	"908"	""	""	""	""	""	""	""	""	""	""	""	""
"18"	"2021-12-11"	"09:58:00"	"53:30"	"0.63"	"94"	"54.45"	""	""	"48.0"	"113.2"	"3104"	"629"	"32.0"	""	"72.1"	"3104"	"629"	""	""	"72.1"	"3104"	"629"	""	""	""	""	""	""	""	""	""	""	""	""
"19"	"2021-12-11"	"12:06:00"	"48:30"	"0.59"	"95.75"	"51.7"	""	""	"53.0"	"103.7"	"3171"	"914"	"32.0"	""	"72.1"	"3171"	"914"	""	""	"72.1"	"3171"	"914"	""	""	""	""	""	""	""	""	""	""	""	""
